사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
이디야 커피,커피숍,"서울특별시 종로구 동호로 406-1, 1층 (종로5가)",200129.775227347    ,452034.69521884     
커피하루,커피숍,"서울특별시 종로구 난계로29가길 4, 1층 (숭인동)",201909.772206626    ,452439.673215542    
커피에반하다 종로도렴빌딩점,커피숍,"서울특별시 종로구 새문안로5길 37, 도렴빌딩 지하1층 42호 (도렴동)",197650.653736722    ,452368.519288991    
투썸 플레이스(신설IBC호텔점),커피숍,"서울특별시 종로구 난계로 241, 1층 (숭인동)",201949.270716491    ,452329.735166543    
카페 슬로우스트림,커피숍,"서울특별시 종로구 지봉로7길 7, 1층 (창신동)",201279.685471673    ,452490.101378305    
그라찌에 종로점,커피숍,"서울특별시 종로구 돈화문로5가길 23 (돈의동,초동교회1층)",199157.618709768    ,452163.795898405    
커피나인 광화문,커피숍,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 7호 (당주동)",197662.503910553    ,452189.09236786     
까페랑솜,커피숍,"서울특별시 종로구 대학로11길 22, 2~3층 (명륜4가)",199968.850339263    ,453338.316074117    
웰니스 에프 까페 자연의 길,커피숍,"서울특별시 종로구 자하문로7길 3, 1.2.3층 (체부동)",197402.538847419    ,452873.808094575    
시즌,커피숍,서울특별시 종로구 자하문로 86-1 (궁정동),197334.468070355    ,453486.307109258    
주스킹 대학로점,커피숍,"서울특별시 종로구 창경궁로 271, 1층 (혜화동)",199985.257331368    ,453683.614613193    
카페자리,커피숍,"서울특별시 종로구 창경궁로 215, 국립어린이과학관 1층 (와룡동)",199661.436068045    ,453329.982363141    
메가엠지씨커피 종로경희궁의아침점,커피숍,"서울특별시 종로구 새문안로3길 23, 경희궁의 아침 4단지 상가동 지상 1층 104호 (내수동)",197478.53747014     ,452259.334813912    
팬도로시 성균관대점,커피숍,"서울특별시 종로구 성균관로 25-2, 1층 (명륜3가, 성균관대학교 국제관)",199242.8370807      ,454009.5047516      
유캔두잇 평창동점,커피숍,"서울특별시 종로구 평창문화로 43-1, 지상 1층 (평창동)",196937.164919453    ,455902.559351398    
화양연화,커피숍,"서울특별시 종로구 계동길 73-1, 지하1층 (계동)",198753.838106041    ,453139.622846075    
오층카페,커피숍,"서울특별시 종로구 대명길 26, 지상 5층 501호 (명륜2가)",199940.215294772    ,453456.719494704    
미쉐(MIXUE),커피숍,"서울특별시 종로구 성균관로 1, 1층 (명륜2가)",199791.886030945    ,453427.311549864    
프랑지파니 플라워아뜰리에,커피숍,"서울특별시 종로구 평창30길 21, 1층 (평창동)",197703.322848231    ,456604.764554737    
커피 휴,커피숍,"서울특별시 종로구 종로41길 49, 1층 (종로6가)",200438.102064147    ,452339.55653695     
카페라토,커피숍,"서울특별시 종로구 자하문로 258, 1~2층 (부암동)",196712.963769539    ,454997.379607374    
소마 (SOMA),커피숍,"서울특별시 종로구 창의문로 155, 1층 (부암동)",196706.63560859     ,454596.804168293    
베키아에누보,커피숍,"서울특별시 종로구 종로 26, SK서린동빌딩 21층 (서린동)",198195.965392583    ,451925.63111828     
카페 살랑 (Sallang),커피숍,"서울특별시 종로구 통일로 246-10, 상가동 1층 102호 (무악동)",196467.975088253    ,452566.134030104    
에이 라운드(A round),커피숍,"서울특별시 종로구 창경궁로 263, 1,2층 (명륜2가)",199962.860897639    ,453618.989692186    
오랫 (oraet),커피숍,"서울특별시 종로구 필운대로1길 19, 지상 1층 (필운동)",197133.267163431    ,452822.249444961    
커피데이,커피숍,"서울특별시 종로구 종로 115 (종로3가,지상4층)",199088.104870893    ,452035.630756211    
빽다방 종로3가낙원점,커피숍,"서울특별시 종로구 수표로 115-1, 젬누리빌딩 1층 1호 (낙원동)",198960.877015188    ,452149.495587908    
(주)커피빈코리아 대학로마로니에점,커피숍,"서울특별시 종로구 대학로12길 62 (동숭동,(지하1층, 지상1,2층))",200258.942373066    ,453233.669430399    
청수당 베이커리,커피숍,"서울특별시 종로구 돈화문로11나길 31-21, 1층 (익선동)",198997.982563855    ,452400.421936537    
매머드 익스프레스 내수동점,커피숍,"서울특별시 종로구 새문안로3길 23, 경희궁의 아침 4단지 상가 107호 (내수동)",197478.53747014     ,452259.334813912    
